,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
2016-01-01 00:00:00,-8.26,0.62,-7.87,0.77,partly-cloudy-night,,0.0,0.0,,1024.32,Mostly Cloudy,-4.42,1451628000,0,10.4,245.0,5.28,2.5
2016-01-01 01:00:00,-9.22,0.59,-8.64,0.76,partly-cloudy-night,,0.0,0.0,,1023.76,Mostly Cloudy,-5.12,1451631600,0,10.938,257.0,5.78,2.61
2016-01-01 02:00:00,-10.54,0.27,-9.64,0.75,partly-cloudy-night,,0.0,0.0,,1023.49,Partly Cloudy,-5.93,1451635200,0,10.986,260.0,6.04,2.92
2016-01-01 03:00:00,-11.38,0.11,-9.99,0.77,clear-night,,0.0,0.0,,1023.45,Clear,-6.61,1451638800,0,10.579,267.0,6.27,2.94
2016-01-01 04:00:00,-12.07,0.56,-10.13,0.78,partly-cloudy-night,,0.0,0.0,,1022.99,Mostly Cloudy,-6.98,1451642400,0,11.493,270.0,6.66,3.17
2016-01-01 05:00:00,-11.84,0.98,-9.66,0.8,cloudy,,0.0,0.0,,1023.08,Overcast,-6.73,1451646000,0,9.618,271.0,6.89,3.24
2016-01-01 06:00:00,-10.87,1.0,-9.01,0.8,cloudy,,0.0,0.0,,1022.95,Overcast,-6.16,1451649600,0,9.312,268.0,6.02,2.97
2016-01-01 07:00:00,-10.0,1.0,-8.46,0.8,cloudy,,0.0,0.0,,1022.85,Overcast,-5.48,1451653200,0,11.426,267.0,5.62,2.93
2016-01-01 08:00:00,-9.28,1.0,-7.93,0.79,cloudy,,0.0,0.0,,1022.6,Overcast,-4.82,1451656800,0,10.522,265.0,6.65,2.99
2016-01-01 09:00:00,-8.7,1.0,-7.51,0.78,cloudy,,0.0,0.0,,1023.19,Overcast,-4.3,1451660400,0,11.425,270.0,6.3,3.03
2016-01-01 10:00:00,-8.32,1.0,-7.06,0.78,cloudy,,0.0,0.0,,1023.55,Overcast,-3.86,1451664000,1,10.526,265.0,6.8,3.18
2016-01-01 11:00:00,-7.95,1.0,-6.84,0.78,cloudy,,0.0,0.0,,1023.4,Overcast,-3.55,1451667600,1,11.728,264.0,6.73,3.2
2016-01-01 12:00:00,-7.5,1.0,-6.55,0.77,cloudy,,0.0,0.0,,1022.63,Overcast,-3.12,1451671200,1,10.992,259.0,6.88,3.26
2016-01-01 13:00:00,-7.11,0.86,-6.22,0.77,partly-cloudy-day,,0.0,0.0,,1021.7,Mostly Cloudy,-2.73,1451674800,1,10.992,255.0,7.14,3.35
2016-01-01 14:00:00,-6.65,0.79,-5.9,0.77,partly-cloudy-day,,0.0,0.0,,1021.27,Mostly Cloudy,-2.42,1451678400,1,11.574,250.0,6.56,3.26
2016-01-01 15:00:00,-5.68,0.74,-5.56,0.76,partly-cloudy-day,,0.0,0.0,,1020.88,Mostly Cloudy,-1.96,1451682000,0,11.728,236.0,6.4,2.82
2016-01-01 16:00:00,-5.68,0.48,-5.26,0.78,partly-cloudy-day,,0.0,0.0,,1020.65,Partly Cloudy,-1.96,1451685600,0,10.992,230.0,5.78,2.82
2016-01-01 17:00:00,-4.96,0.49,-4.82,0.79,partly-cloudy-night,,0.0,0.0,,1020.76,Partly Cloudy,-1.71,1451689200,0,10.712,227.0,5.32,2.42
2016-01-01 18:00:00,-4.68,0.39,-4.41,0.79,partly-cloudy-night,,0.0,0.0,,1020.36,Partly Cloudy,-1.3,1451692800,0,10.037,225.0,5.47,2.6
2016-01-01 19:00:00,-4.17,0.49,-4.48,0.77,partly-cloudy-night,,0.0,0.0,,1020.46,Partly Cloudy,-1.0,1451696400,0,10.992,241.0,5.35,2.47
2016-01-01 20:00:00,-4.11,0.08,-4.71,0.77,clear-night,,0.0,0.0,,1020.03,Clear,-1.23,1451700000,0,10.479,227.0,4.25,2.18
2016-01-01 21:00:00,-4.25,0.0,-4.71,0.78,clear-night,,0.0,0.0,,1019.9,Clear,-1.32,1451703600,0,11.487,235.0,4.5,2.2
2016-01-01 22:00:00,-4.28,0.0,-5.03,0.77,clear-night,,0.0,0.0,,1019.92,Clear,-1.52,1451707200,0,11.468,251.0,4.45,2.04
2016-01-01 23:00:00,-5.16,0.0,-5.5,0.76,clear-night,,0.0,0.0,,1020.01,Clear,-1.91,1451710800,0,11.769,263.0,4.54,2.39
2016-01-02 00:00:00,-5.54,0.0,-6.08,0.76,clear-night,,0.0,0.0,,1020.07,Clear,-2.47,1451714400,0,11.315,269.0,4.2,2.16
2016-01-02 01:00:00,-6.08,0.0,-6.47,0.78,clear-night,,0.0,0.0,,1019.84,Clear,-3.15,1451718000,0,11.014,263.0,4.1,1.96
2016-01-02 02:00:00,-6.24,0.45,-6.78,0.78,partly-cloudy-night,,0.0,0.0,,1020.31,Partly Cloudy,-3.53,1451721600,0,11.344,273.0,4.0,1.78
2016-01-02 03:00:00,-6.49,0.65,-6.98,0.78,partly-cloudy-night,,0.0,0.0,,1020.13,Mostly Cloudy,-3.75,1451725200,0,11.024,277.0,3.63,1.78
2016-01-02 04:00:00,-6.62,0.74,-7.17,0.79,partly-cloudy-night,,0.0,0.0,,1019.98,Mostly Cloudy,-4.03,1451728800,0,11.008,280.0,3.3,1.66
2016-01-02 05:00:00,-6.91,0.52,-7.5,0.8,partly-cloudy-night,,0.0,0.0,,1020.07,Mostly Cloudy,-4.55,1451732400,0,11.989,272.0,2.92,1.48
2016-01-02 06:00:00,-5.29,0.21,-7.81,0.82,partly-cloudy-night,,0.0,0.0,,1020.32,Partly Cloudy,-5.29,1451736000,0,10.992,263.0,2.58,1.25
2016-01-02 07:00:00,-5.95,0.07,-8.22,0.84,clear-night,,0.0,0.0,,1020.54,Clear,-5.95,1451739600,0,10.037,257.0,2.14,1.04
2016-01-02 08:00:00,-6.15,0.06,-8.23,0.85,clear-day,,0.0,0.0,,1020.58,Clear,-6.15,1451743200,0,11.769,249.0,1.94,1.04
2016-01-02 09:00:00,-7.83,0.0,-7.57,0.82,clear-day,,0.0,0.0,,1020.43,Clear,-5.0,1451746800,0,11.776,246.0,3.49,1.71
2016-01-02 10:00:00,-6.57,0.0,-6.79,0.77,clear-day,,0.0,0.0,,1020.7,Clear,-3.35,1451750400,1,11.344,246.0,4.09,2.15
2016-01-02 11:00:00,-5.17,0.0,-6.16,0.73,clear-day,,0.0,0.0,,1020.01,Clear,-1.94,1451754000,1,11.989,244.0,4.85,2.37
2016-01-02 12:00:00,-4.19,0.0,-5.65,0.71,clear-day,,0.0,0.0,,1018.93,Clear,-1.0,1451757600,2,11.744,248.0,5.21,2.48
2016-01-02 13:00:00,-3.27,0.0,-5.17,0.69,clear-day,,0.0,0.0,,1017.81,Clear,-0.14,1451761200,1,12.261,242.0,5.03,2.58
2016-01-02 14:00:00,-2.59,0.0,-4.69,0.68,clear-day,0.0156,0.0255,0.21,snow,1016.73,Clear,0.5,1451764800,1,11.102,234.0,5.32,2.66
2016-01-02 15:00:00,-2.46,0.0,-4.24,0.7,clear-day,0.0187,0.033,0.19,snow,1016.15,Clear,0.68,1451768400,0,11.776,235.0,5.55,2.75
2016-01-02 16:00:00,-2.55,0.0,-4.06,0.72,clear-day,0.0166,0.0255,0.19,snow,1015.98,Clear,0.33,1451772000,0,11.769,229.0,5.28,2.43
2016-01-02 17:00:00,-3.38,0.0,-4.14,0.76,clear-night,,0.0,0.0,,1015.47,Clear,-0.46,1451775600,0,11.769,229.0,4.92,2.33
2016-01-02 18:00:00,-4.05,0.0,-4.15,0.78,clear-night,,0.0,0.0,,1014.8,Clear,-0.72,1451779200,0,11.102,230.0,5.8,2.67
2016-01-02 19:00:00,-4.52,0.0,-4.1,0.78,clear-night,,0.0,0.0,,1014.52,Clear,-0.82,1451782800,0,11.769,235.0,6.36,3.04
2016-01-02 20:00:00,-4.58,0.0,-4.17,0.78,clear-night,,0.0,0.0,,1014.39,Clear,-0.78,1451786400,0,11.769,247.0,6.97,3.15
2016-01-02 21:00:00,-4.85,0.0,-4.75,0.76,clear-night,,0.0,0.0,,1015.08,Clear,-1.12,1451790000,0,11.001,259.0,6.72,3.01
2016-01-02 22:00:00,-5.55,0.0,-5.45,0.76,clear-night,,0.0,0.0,,1015.16,Clear,-1.73,1451793600,0,11.989,272.0,6.32,2.97
2016-01-02 23:00:00,-5.83,0.0,-6.02,0.77,clear-night,,0.0,0.0,,1015.16,Clear,-2.5,1451797200,0,11.989,272.0,5.18,2.37
2016-01-03 00:00:00,-6.55,0.0,-6.52,0.78,clear-night,,0.0,0.0,,1015.21,Clear,-3.19,1451800800,0,11.338,281.0,4.72,2.29
2016-01-03 01:00:00,-6.77,0.0,-6.9,0.79,clear-night,,0.0,0.0,,1014.9,Clear,-3.77,1451804400,0,11.468,283.0,4.18,1.95
2016-01-03 02:00:00,-7.26,0.0,-7.24,0.8,clear-night,,0.0,0.0,,1015.55,Clear,-4.26,1451808000,0,10.068,285.0,3.67,1.9
2016-01-03 03:00:00,-7.73,0.0,-7.53,0.8,clear-night,,0.0,0.0,,1016.31,Clear,-4.61,1451811600,0,11.014,294.0,3.78,1.94
2016-01-03 04:00:00,-7.84,0.0,-7.82,0.79,clear-night,,0.0,0.0,,1016.8,Clear,-4.78,1451815200,0,11.989,309.0,3.75,1.88
2016-01-03 05:00:00,-7.58,0.0,-7.98,0.79,clear-night,,0.0,0.0,,1017.04,Clear,-4.97,1451818800,0,11.989,305.0,3.01,1.59
2016-01-03 06:00:00,-7.98,0.37,-7.88,0.8,partly-cloudy-night,,0.0,0.0,,1017.98,Partly Cloudy,-4.92,1451822400,0,10.992,303.0,3.58,1.86
2016-01-03 07:00:00,-7.28,0.84,-7.35,0.79,partly-cloudy-night,,0.0,0.0,,1018.9,Mostly Cloudy,-4.29,1451826000,0,11.769,316.0,3.48,1.88
2016-01-03 08:00:00,-6.04,1.0,-6.72,0.79,cloudy,,0.0,0.0,,1019.66,Overcast,-3.53,1451829600,0,11.487,324.0,3.29,1.65
2016-01-03 09:00:00,-5.36,1.0,-5.84,0.78,cloudy,,0.0,0.0,,1020.61,Overcast,-2.53,1451833200,0,11.728,333.0,3.59,1.96
2016-01-03 10:00:00,-4.77,1.0,-5.25,0.76,cloudy,,0.0,0.0,,1021.42,Overcast,-1.65,1451836800,1,11.769,339.0,4.41,2.32
2016-01-03 11:00:00,-4.31,1.0,-5.14,0.74,cloudy,,0.0,0.0,,1021.86,Overcast,-1.18,1451840400,1,11.512,335.0,4.39,2.4
2016-01-03 12:00:00,-4.2,1.0,-5.48,0.72,cloudy,,0.0,0.0,,1021.84,Overcast,-1.07,1451844000,1,12.012,334.0,4.92,2.42
2016-01-03 13:00:00,-4.26,1.0,-5.87,0.7,cloudy,,0.0,0.0,,1022.3,Overcast,-1.17,1451847600,1,10.886,331.0,4.85,2.37
2016-01-03 14:00:00,-4.27,1.0,-6.13,0.7,cloudy,,0.0,0.0,,1022.57,Overcast,-1.33,1451851200,1,10.992,328.0,4.6,2.21
2016-01-03 15:00:00,-4.47,1.0,-6.22,0.7,cloudy,,0.0,0.0,,1022.78,Overcast,-1.51,1451854800,0,11.728,329.0,4.62,2.2
2016-01-03 16:00:00,-4.33,1.0,-6.07,0.72,cloudy,,0.0,0.0,,1023.4,Overcast,-1.61,1451858400,0,10.712,328.0,4.13,2.0
2016-01-03 17:00:00,-4.33,1.0,-5.93,0.73,cloudy,,0.0,0.0,,1024.31,Overcast,-1.78,1451862000,0,11.747,328.0,4.19,1.85
2016-01-03 18:00:00,-4.91,1.0,-6.0,0.74,cloudy,,0.0,0.0,,1024.78,Overcast,-2.04,1451865600,0,10.037,328.0,4.64,2.06
2016-01-03 19:00:00,-5.61,1.0,-6.37,0.74,cloudy,,0.0,0.0,,1025.12,Overcast,-2.37,1451869200,0,11.776,328.0,4.64,2.31
2016-01-03 20:00:00,-5.45,1.0,-6.57,0.74,cloudy,,0.0,0.0,,1025.54,Overcast,-2.5,1451872800,0,10.722,328.0,3.99,2.07
2016-01-03 21:00:00,-4.73,1.0,-6.73,0.73,cloudy,,0.0,0.0,,1025.58,Overcast,-2.52,1451876400,0,10.749,320.0,3.26,1.56
2016-01-03 22:00:00,-5.01,1.0,-6.52,0.74,cloudy,,0.0,0.0,,1025.83,Overcast,-2.53,1451880000,0,11.024,318.0,3.11,1.72
2016-01-03 23:00:00,-5.07,1.0,-6.54,0.75,cloudy,,0.0,0.0,,1025.98,Overcast,-2.65,1451883600,0,11.102,320.0,3.53,1.68
2016-01-04 00:00:00,-5.47,1.0,-6.84,0.75,cloudy,,0.0,0.0,,1026.05,Overcast,-2.96,1451887200,0,11.014,310.0,3.35,1.7
2016-01-04 01:00:00,-6.12,0.48,-7.4,0.74,partly-cloudy-night,,0.0,0.0,,1025.77,Partly Cloudy,-3.49,1451890800,0,11.014,307.0,3.3,1.73
2016-01-04 02:00:00,-4.13,0.36,-7.82,0.75,partly-cloudy-night,,0.0,0.0,,1026.29,Partly Cloudy,-4.13,1451894400,0,11.744,303.0,3.05,1.33
2016-01-04 03:00:00,-7.0,0.39,-7.73,0.77,partly-cloudy-night,,0.0,0.0,,1026.79,Partly Cloudy,-4.24,1451898000,0,10.584,304.0,3.43,1.74
2016-01-04 04:00:00,-7.08,0.63,-7.42,0.77,partly-cloudy-night,,0.0,0.0,,1027.24,Mostly Cloudy,-4.01,1451901600,0,11.063,315.0,3.65,1.97
2016-01-04 05:00:00,-6.7,0.84,-6.97,0.77,partly-cloudy-night,,0.0,0.0,,1027.55,Mostly Cloudy,-3.45,1451905200,0,10.992,321.0,4.11,2.16
2016-01-04 06:00:00,-6.33,0.77,-6.66,0.77,partly-cloudy-night,,0.0,0.0,,1028.23,Mostly Cloudy,-3.14,1451908800,0,10.037,331.0,4.55,2.16
2016-01-04 07:00:00,-6.53,0.28,-6.89,0.76,partly-cloudy-night,,0.0,0.0,,1029.18,Partly Cloudy,-3.32,1451912400,0,10.712,327.0,4.28,2.15
2016-01-04 08:00:00,-6.76,0.2,-7.03,0.77,partly-cloudy-day,,0.0,0.0,,1029.97,Partly Cloudy,-3.51,1451916000,0,10.992,340.0,4.45,2.16
2016-01-04 09:00:00,-6.29,0.22,-6.68,0.74,partly-cloudy-day,,0.0,0.0,,1031.24,Partly Cloudy,-2.72,1451919600,0,11.371,346.0,5.3,2.53
2016-01-04 10:00:00,-5.49,0.7,-6.02,0.73,partly-cloudy-day,,0.0,0.0,,1031.87,Mostly Cloudy,-1.81,1451923200,1,8.165,8.0,5.65,2.81
2016-01-04 11:00:00,-4.43,0.93,-5.86,0.7,cloudy,,0.0,0.0,,1032.08,Overcast,-1.0,1451926800,1,11.293,30.0,5.37,2.72
2016-01-04 12:00:00,-3.65,0.88,-5.62,0.69,cloudy,,0.0,0.0,,1032.2,Overcast,-0.58,1451930400,1,10.004,25.0,5.06,2.44
2016-01-04 13:00:00,-3.24,1.0,-5.69,0.68,cloudy,,0.0,0.0,,1032.04,Overcast,-0.49,1451934000,1,10.749,34.0,4.56,2.17
2016-01-04 14:00:00,-3.62,1.0,-5.8,0.68,cloudy,,0.0,0.0,,1032.29,Overcast,-0.6,1451937600,1,10.037,42.0,4.67,2.4
2016-01-04 15:00:00,-3.21,0.89,-6.36,0.66,cloudy,,0.0,0.0,,1032.71,Overcast,-0.7,1451941200,0,10.992,42.0,4.23,1.96
2016-01-04 16:00:00,-3.23,1.0,-6.58,0.66,cloudy,,0.0,0.0,,1033.34,Overcast,-1.0,1451944800,0,11.378,29.0,3.46,1.72
2016-01-04 17:00:00,-1.29,1.0,-6.83,0.66,cloudy,,0.0,0.0,,1034.24,Overcast,-1.29,1451948400,0,11.102,27.0,2.62,1.13
